
                       RAJASTHAN ROYALS (RR)         

S.No.         PLAYER_NAME
                                                                        
1.            MAHIPAL LOMROR      
2.            BEN STOKES                                     
3.            JAYDEV UNADKAT                          
4.            SANJU SAMSON                              
5.            JOFRA ARCHER                                    
6.            GOWTHAM KRISHNAPPA                
7.            JOS BUTTLER                                              
8.            AJINKYA RAHANE(CAPTAIN)                   
9.            DARCY SHORT                                          
10.           RAHUL TRIPHATHI                                
11.           DHAWAL KULKARNI                               
12.           ZAHIR KHAN PAKTEEN
13.           Shreyas Gopal
14.           Stuart Binny
