
            SUNRISERS HYDERABAD (SRH) 
  
S.No.    PLAYER_NAME
                                                                                               
1.       DAVID WARNER                
2.       BHUVNESHWAR KUMAR           
3.       MANISH PANDEY               
4.       RASHID KHAN ARMAN           
5.       SHIKHAR DHAWAN              
6.       WRIDDHIMAN SAHA             
7.       KANE WILLIAMSON             
8.       SANDEEP SHARMA              
9.       SHAKIB HASAN                
10.      CARLOS BRATHWAITE        
11.      YUSUF PATHAN               
12.      MOHOMMAD NABI EISAKHIL      
13.      CHRIS JORDAN
14.      ISHANT SHARMA
