
               Indian Premier League    umpires

Umpire	                    Nationality

	
Sundaram Ravi	            India India	
Kumar Dharmasena            Sri Lanka
Anil Chaudhary	            India
Chettithody                 India 
Marais Erasmus	            South Africa
Simon Taufel	            Australia Australia	
Asad Rauf	            Pakistan 
C. K. Nandan	            India 
Billy Doctrove	            West Indies	
Vineet Kulkarni	            India
Rudi Koertzen	            South Africa 
Rod Tucker	            Australia	
Billy Bowden	            New Zealand
Aleem Dar	            Pakistan
Bruce Oxenford	            Australia 
Nitin Menon	            India 
Sudhir Asnani	            India 
Shavir Tarapore	            India
Nigel Llong	            England
Russell Tiffin	            Zimbabwe 
Chris Gaffaney	            New Zealand
Daryl Harper	            Australia 
Amiesh Saheba	            India 
Krishna Hariharan           India
Nand Kishore	            India
Richard Illing	            England 
K. N. Ananthapadmanabhan    India
Brian Jerling	            South Africa 
Johan Cloete	            South Africa
Anil Dandekar	            India 
Sanjay Hazare	            India 
Virender Sharma	            India 
Subrat Das	            India 
Krishnaraj Srinath	    India 
Ian Howell	            South Africa
Suresh Shastri	            India 
Mark Benson	            England
Abhijit Deshmukh	    India
Paul Reiffel	            Australia
Yeshwant Barde	            India 
Rajesh Deshpande	    India 
Pashchim Pathak	            India 
Gary Baxter	            New Zealand 
Steve Davis	            Australia 
Arani Jayaprakash	    India India
Simon Fry	            Australia 
Tony Hill	            New Zealand
G. A. Pratapkumar	    India 
Ivaturi Shivram	            India 
Tyron Wijewardene	    Sri Lanka 
Krishnamachari Bharatan	    India 
Subroto Das	            India
Ulhas Gandhe	            India 
